Wavelength,PAN,BLUE,GREEN,RED,NIR
350,0.0000552409379682,0.0000027729023384,0.0000045585984844,0.0000014465575738,0.0000009950308090
351,0.0000575881813219,0.0000026089408528,0.0000036929348824,0.0000122233249475,0.0000008630490956
352,0.0000599365861024,0.0000024451169188,0.0000028272712804,0.0000229995153138,0.0000007310673822
353,0.0000622849908828,0.0000022812929849,0.0000019616076785,0.0000337768596949,0.0000005991009587
354,0.0000646333956632,0.0000021174690509,0.0000010959073491,0.0000445530500612,0.0000004671192453
355,0.0000669806390170,0.0000019535075653,0.0000002302315047,0.0000553303944423,0.0000003351375319
356,0.0000576021184423,0.0000018284731774,0.0000004165860705,0.0000751932974819,0.0000002934269070
357,0.0000482235978676,0.0000017034387895,0.0000006029406364,0.0000950562005216,0.0000002517009923
358,0.0000388450772929,0.0000015782668501,0.0000007892829597,0.0001149191035613,0.0000002099903674
359,0.0000294665567183,0.0000014532324622,0.0000009756375256,0.0001347773905417,0.0000001682797425
360,0.0000200880361436,0.0000013281568088,0.0000011619920914,0.0001546495256999,0.0000001265553568
361,0.0000196060440645,0.0000013401375516,0.0000009595509470,0.0001283726083043,0.0000002385517484
362,0.0000191252134122,0.0000013521045392,0.0000007571098025,0.0001020910748494,0.0000003505343792
363,0.0000186432213331,0.0000013640715268,0.0000005546686581,0.0000758141574538,0.0000004625322997
364,0.0000181612292540,0.0000013760660248,0.0000003522275137,0.0000495372400582,0.0000005745149305
365,0.0000176803986016,0.0000013880330124,0.0000001497863693,0.0000232591686477,0.0000006865128511
366,0.0000176083901465,0.0000014200825309,0.0000001958179793,0.0000211484755464,0.0000005492255707
367,0.0000175375431180,0.0000014519944979,0.0000002418495893,0.0000190377824451,0.0000004119382903
368,0.0000174666960895,0.0000014840440165,0.0000002878811993,0.0000169270893438,0.0000002746510099
369,0.0000173958490610,0.0000015160935351,0.0000003339128093,0.0000148163962425,0.0000001373637295
370,0.0000173238406058,0.0000015481430536,0.0000003799444193,0.0000127057031412,0.0000000000762427
371,0.0000156885518171,0.0000015133425034,0.0000004137580647,0.0000105607357998,0.0000000000764995
372,0.0000140521016016,0.0000014786795048,0.0000004475717101,0.0000084155376555,0.0000000000767564
373,0.0000124168128129,0.0000014438789546,0.0000004813853556,0.0000062703395112,0.0000000000770118
374,0.0000107811755961,0.0000014092159560,0.0000005151990010,0.0000041251413668,0.0000000000772686
375,0.0000091454222367,0.0000013744154058,0.0000005490004040,0.0000019798278210,0.0000000000775255
376,0.0000098174237233,0.0000013424759285,0.0000004920362866,0.0000018465391096,0.0000000000771371
377,0.0000104894252099,0.0000013105502063,0.0000004350599268,0.0000017131349967,0.0000000000767503
378,0.0000111613105539,0.0000012786107290,0.0000003780835670,0.0000015797308837,0.0000000000763619
379,0.0000118337766112,0.0000012466712517,0.0000003211194496,0.0000014464421723,0.0000000000759736
380,0.0000125050812418,0.0000012147455296,0.0000002641430897,0.0000013130380594,0.0000000000755867
381,0.0000115275083913,0.0000012842778542,0.0000002317618109,0.0000016318923535,0.0000000000765362
382,0.0000105498193981,0.0000013538101788,0.0000001993805321,0.0000019506312461,0.0000000000774857
383,0.0000095720142623,0.0000014233837689,0.0000001669870108,0.0000022694855402,0.0000000000784352
384,0.0000085942091265,0.0000014928473177,0.0000001346057319,0.0000025883398343,0.0000000000793847
385,0.0000076164039907,0.0000015624484182,0.0000001022183318,0.0000029071941284,0.0000000000803342
386,0.0000077888758551,0.0000014330123796,0.0000000831739774,0.0000111079696263,0.0000000000808327
387,0.0000079612315769,0.0000013037001376,0.0000000641296231,0.0000193089759273,0.0000000000813296
388,0.0000081335872986,0.0000011743466300,0.0000000450852687,0.0000275094052208,0.0000000000818265
389,0.0000083060591631,0.0000010449931224,0.0000000260409143,0.0000357098345143,0.0000000000823234
390,0.0000084784148848,0.0000009156533700,0.0000000069958253,0.0000439114178226,0.0000000000828204
391,0.0000092005900048,0.0000008937964237,0.0000000360638076,0.0000412871881275,0.0000000000826996
392,0.0000099226489820,0.0000008719394773,0.0000000651310554,0.0000386641124472,0.0000000000825773
393,0.0000106448241019,0.0000008500825309,0.0000000941995274,0.0000360398827521,0.0000000000824565
394,0.0000113669992218,0.0000008282255846,0.0000001232692237,0.0000334168070718,0.0000000000823341
395,0.0000120892904844,0.0000008063686382,0.0000001523327987,0.0000307925773767,0.0000000000822134
396,0.0000111740862475,0.0000009430674003,0.0000001218833784,0.0000307914233619,0.0000000000828234
397,0.0000102591142960,0.0000010797661623,0.0000000914302854,0.0000307891153322,0.0000000000834350
398,0.0000093441423445,0.0000012164511692,0.0000000609784166,0.0000307879613174,0.0000000000840451
399,0.0000084291703929,0.0000013531499312,0.0000000305253235,0.0000307868073026,0.0000000000846567
400,0.0000075141984414,0.0000014898211829,0.0000000000732882,0.0000307844992730,0.0000000000852667
401,0.0000072225641979,0.0000680426409904,0.0000000000735416,0.0000297481939668,0.0000000000856551
402,0.0000069309299544,0.0001345942228336,0.0000000000737950,0.0000287107346458,0.0000000000860435
403,0.0000066392957109,0.0002011416781293,0.0000000000740497,0.0000276732753249,0.0000000000864303
404,0.0000063476614673,0.0002677028885832,0.0000000000743031,0.0000266369700187,0.0000000000868186
405,0.0000060560272238,0.0003342503438790,0.0000000000745565,0.0000255995106977,0.0000000000872055
